label,detail,documentation,kind
.Q.a,lowercase alphabet,.Q.a,6
.Q.A,uppercase alphabet,.Q.A,6
.Q.addmonths,add months to date,.Q.addmonths[dates;ints],2
.Q.addr,IP address,.Q.addr[sym],2
.Q.b6,bicameral-alphanums,.Q.b6,6
.Q.bt,backtrace,.Q.bt[],2
.Q.btoa,b64 encode,.Q.btoa[string],2
.Q.bv,build vp,.Q.bv[<`>],2
.Q.Cf,create empty nested char file,.Q.Cf[file],2
.Q.chk,fill HDB,.Q.chk[dir],2
.Q.cn,count partitioned table,.Q.cn[partitioned table],2
.Q.D,partitions,.Q.D,2
.Q.dd,join symbols,.Q.dd[sym|dir;sym],2
.Q.def,provide defaults for .Q.opt,.Q.def[default dict;params dict],2
.Q.dpft,save table,.Q.dpft[dir;partition date;column sym;table sym],2
.Q.dpfts,save table with sym,.Q.dpfts[dir;part;column sym;table sym;sym],2
.Q.dsftg,load process save,.Q.dsftg[(dir;part;sym);(dir;offset;length);column syms;(types;widths);v1],2
.Q.en,enumerate varchar cols,.Q.en[dir;table],2
.Q.ens,enumerate against domain,.Q.ens[dir;table;sym],2
.Q.f,format,.Q.f[int;number],2
.Q.fc,parallel on cut,.Q.fc[v1;list],2
.Q.ff,append columns,.Q.ff[table;table],2
.Q.fk,foreign key,.Q.fk[column sym],2
.Q.fmt,format,.Q.fmt[length;decimal;number],2
.Q.fps,streaming algorithm,.Q.fps[v1;file],2
.Q.fs,streaming algorithm,.Q.fs[v1;file],2
.Q.fsn,streaming algorithm,.Q.fs[v1;file;chunk size],2
.Q.ft,apply simple,.Q.ft[v1;keyed table],2
.Q.fu,apply unique,.Q.fu[v1;list],2
.Q.gc,garbage collect,.Q.gc[],2
.Q.hdpf,save tables,.Q.hdpf[hdb handle;dir;part;column sym],2
.Q.hg,HTTP get,.Q.hp[url|string],2
.Q.host,hostname,.Q.host[ip int],2
.Q.hp,HTTP post,.Q.hp[url|string;MIME string;query string],2
.Q.id,sanitize,.Q.id[sym|table],2
.Q.ind,partitioned index,.Q.ind[partitioned table;indices],2
.Q.j10,encode binhex,.Q.j10[string],2
.Q.j12,encode base64,.Q.j12[string],2
.Q.k,version,.Q.k,6
.Q.l,load,.Q.l[file|dir],2
.Q.M,long infinity,.Q.M,6
.Q.MAP,maps partitions,.Q.MAP[],2
.Q.nA,alphanums,.Q.nA,6
.Q.opt,command parameters,.Q.opt[strings|.z.x],2
.Q.P,segments,.Q.P,6
.Q.par,locate partition,.Q.par[dir;part;table sym],2
.Q.pd,modified partition locations,.Q.pd,6
.Q.PD,partition locations,.Q.PD,6
.Q.pf,partition field,.Q.pf,6
.Q.pn,partition counts,.Q.pn,6
.Q.pt,partitioned tables,.Q.pt,6
.Q.pv,modified partition values,.Q.pv,2
.Q.PV,partition values,.Q.PV,2
.Q.qp,is partitioned,.Q.qp[table],2
.Q.qt,is table,.Q.qt[table],2
.Q.res,keywords,.Q.res,6
.Q.s,plain text,.Q.s[any],2
.Q.s1,string representation,.Q.s1[any],2
.Q.sbt,string backtrace,.Q.sbt[backtrace object],2
.Q.sha1,SHA-1 encode,.Q.sha1[string],2
.Q.trp,extend trap,.Q.trp[v1;any;v2],2
.Q.ts,time and space,.Q.ts[v;args],2
.Q.ty,type,.Q.ty[list],2
.Q.u,is date based,.Q.u,6
.Q.V,table to dict,.Q.v[table],2
.Q.v,value,.Q.v[file|sym],2
.Q.view,subview,.Q.view[parts],2
.Q.vp,missing partitions,.Q.vp,6
.Q.w,memory stats,.Q.w[],2
.Q.x,non-command parameters,.Q.x,6
.Q.x10,decode binhex,.Q.x10[long],2
.Q.x12,decode base64,.Q.x12[long],2
.Q.Xf,create file,.Q.Xf[upper case char|type sym],2
.z.a,IP address,.z.a,6
